policy_number,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship
521585,466132,MALE,MD,craft-repair,sleeping,husband
342868,468176,MALE,MD,machine-op-inspct,reading,other-relative
687698,430632,FEMALE,PhD,sales,board-games,own-child
227811,608117,FEMALE,PhD,armed-forces,board-games,unmarried
367455,610706,MALE,Associate,sales,board-games,unmarried
104594,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried
413978,441716,MALE,PhD,prof-specialty,board-games,husband
429027,603195,MALE,Associate,tech-support,base-jumping,unmarried
485665,601734,FEMALE,PhD,other-service,golf,own-child
636550,600983,MALE,PhD,priv-house-serv,camping,wife
543610,462283,FEMALE,Masters,exec-managerial,dancing,other-relative
214618,615561,FEMALE,High School,exec-managerial,skydiving,other-relative
842643,432220,MALE,MD,protective-serv,reading,wife
626808,464652,FEMALE,MD,armed-forces,bungie-jumping,wife
644081,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family
892874,458733,FEMALE,MD,transport-moving,movies,other-relative
558938,619884,MALE,College,machine-op-inspct,hiking,own-child
275265,470610,MALE,High School,machine-op-inspct,reading,unmarried
921202,472135,FEMALE,MD,craft-repair,yachting,other-relative
143972,477670,FEMALE,High School,handlers-cleaners,camping,own-child
183430,618845,MALE,JD,other-service,bungie-jumping,own-child
431876,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child
285496,443920,MALE,High School,prof-specialty,paintball,other-relative
115399,453148,MALE,MD,priv-house-serv,chess,own-child
736882,434733,MALE,College,craft-repair,kayaking,husband
699044,613982,MALE,Masters,sales,polo,own-child
863236,436984,MALE,High School,prof-specialty,golf,own-child
608513,607730,MALE,JD,exec-managerial,chess,not-in-family
914088,609837,FEMALE,JD,sales,kayaking,not-in-family
596785,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried
908616,473328,MALE,Masters,prof-specialty,video-games,husband
666333,610393,MALE,JD,craft-repair,reading,husband
336614,614780,FEMALE,Associate,adm-clerical,yachting,other-relative
584859,472248,MALE,High School,farming-fishing,video-games,wife
990493,603381,MALE,PhD,prof-specialty,yachting,own-child
129872,479224,MALE,High School,craft-repair,reading,not-in-family
200152,430141,FEMALE,Masters,protective-serv,camping,unmarried
933293,620757,FEMALE,JD,priv-house-serv,golf,unmarried
485664,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried
982871,474615,MALE,JD,tech-support,video-games,wife
206213,456446,MALE,Associate,tech-support,kayaking,not-in-family
616337,470577,MALE,Associate,transport-moving,chess,unmarried
448961,441648,FEMALE,College,prof-specialty,hiking,husband
790442,433782,FEMALE,PhD,transport-moving,reading,own-child
108844,468104,MALE,JD,priv-house-serv,reading,unmarried
430029,459407,FEMALE,MD,protective-serv,yachting,husband
529112,472573,FEMALE,Associate,other-service,polo,husband
939631,433473,MALE,College,other-service,kayaking,husband
866931,446326,FEMALE,PhD,protective-serv,dancing,other-relative
582011,435481,FEMALE,Masters,exec-managerial,movies,wife
691189,477310,MALE,MD,other-service,bungie-jumping,own-child
537546,609930,FEMALE,JD,farming-fishing,polo,husband
394975,603993,MALE,College,armed-forces,basketball,not-in-family
729634,437818,FEMALE,JD,priv-house-serv,movies,husband
282195,478423,MALE,PhD,machine-op-inspct,movies,not-in-family
420810,467784,MALE,PhD,craft-repair,skydiving,not-in-family
524836,606714,FEMALE,PhD,prof-specialty,chess,unmarried
307195,464691,FEMALE,Masters,adm-clerical,hiking,own-child
623648,431683,MALE,PhD,other-service,yachting,husband
485372,431725,FEMALE,MD,adm-clerical,kayaking,own-child
598554,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative
303987,452787,MALE,JD,handlers-cleaners,basketball,husband
343161,468767,MALE,High School,armed-forces,bungie-jumping,unmarried
519312,435489,MALE,JD,transport-moving,video-games,own-child
132902,450149,MALE,PhD,sales,chess,not-in-family
332867,458364,FEMALE,MD,exec-managerial,chess,other-relative
356590,476458,FEMALE,High School,tech-support,paintball,not-in-family
346002,602433,FEMALE,Associate,adm-clerical,reading,unmarried
500533,478575,MALE,MD,machine-op-inspct,movies,own-child
348209,449718,MALE,MD,other-service,kayaking,own-child
486676,463181,FEMALE,Associate,prof-specialty,sleeping,own-child
260845,441992,FEMALE,MD,armed-forces,cross-fit,not-in-family
657045,452597,FEMALE,Associate,sales,paintball,husband
761189,614417,FEMALE,College,transport-moving,golf,not-in-family
175177,472895,FEMALE,Associate,sales,yachting,wife
116700,475847,FEMALE,High School,transport-moving,bungie-jumping,other-relative
