accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	101652	9378.0	3406.0	1454.0	680.0	331.0	205.0	138.0	131.0	122.0
2013	1004649	1070879.0	1076139.0	1077767.0	1078315.0	1078532.0	1078618.0	1078659.0	1078691.0	1078710.0
2014	1212058	1288902.0	1294338.0	1295977.0	1296589.0	1296855.0	1296931.0	1296986.0	1297027.0	
2015	1093425	1186526.0	1192200.0	1193865.0	1194579.0	1194872.0	1194963.0	1195022.0		
2016	1106076	1183957.0	1190077.0	1191762.0	1192322.0	1192589.0	1192699.0			
2017	1207534	1295015.0	1301415.0	1303120.0	1303752.0	1304035.0				
2018	1126792	1219478.0	1225327.0	1227085.0	1227800.0					
2019	1111471	1201439.0	1208658.0	1210688.0						
2020	1257095	1366120.0	1374374.0							
2021	1290449	1400697.0								
2022	1064501									
