accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	105492	11875.0	4307.0	1907.0	974.0	514.0	190.0	262.0	59.0	67.0
2015	644796	758134.0	766171.0	768578.0	769676.0	770187.0	770382.0	770498.0	770568.0	770618.0
2016	687044	769991.0	777249.0	779726.0	780691.0	781060.0	781293.0	781391.0	781497.0	
2017	713730	804967.0	813031.0	815448.0	816491.0	816887.0	817107.0	817086.0		
2018	672263	770468.0	778400.0	780557.0	781698.0	782201.0	782471.0			
2019	657256	751824.0	759967.0	762387.0	763349.0	763840.0				
2020	721363	834515.0	844465.0	847739.0	849193.0					
2021	679799	801644.0	812262.0	815405.0						
2022	531534	663578.0	672927.0							
2023	683552	815813.0								
2024	699250									
