accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	1119341	1044991.0	978769.0	935906.0	908234.0	880625.0	877564.0	869477.0	833034.0	839185.0
2013	4861785	4926838.0	4889871.0	4876268.0	4850604.0	4841248.0	4836165.0	4831962.0	4825220.0	4826613.0
2014	6156125	6149294.0	6138411.0	6096123.0	6085104.0	6073627.0	6063827.0	6057582.0	6057710.0	
2015	5845722	5852853.0	5790848.0	5766331.0	5749767.0	5746907.0	5740136.0	5747493.0		
2016	6223812	6228390.0	6193512.0	6178228.0	6166201.0	6161820.0	6158792.0			
2017	7242206	7379978.0	7349528.0	7114029.0	7114251.0	7063636.0				
2018	7743886	7890686.0	7589430.0	7447760.0	7478679.0					
2019	7662150	7708076.0	7694864.0	7699373.0						
2020	9268890	9174630.0	9151513.0							
2021	9394708	9465829.0								
2022	9858893									
