accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	19291	9859.0	5776.0	3607.0	2224.0	1487.0	1087.0	901.0	660.0	487.0
2014	64019	9518.0	4345.0	2243.0	1243.0	724.0	491.0	339.0	246.0	218.0
2015	76595	10265.0	4644.0	2445.0	1292.0	763.0	505.0	359.0	286.0	
2016	50820	8771.0	4398.0	2204.0	1225.0	770.0	495.0	361.0		
2017	50584	9515.0	4727.0	2631.0	1400.0	773.0	480.0			
2018	55446	10023.0	4711.0	2602.0	1337.0	834.0				
2019	49269	8505.0	4027.0	2077.0	1237.0					
2020	62107	11336.0	6147.0	2903.0						
2021	71171	10777.0	6228.0							
2022	80533	8559.0								
2023	60399									
