accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	0	375529.0	576192.0	676073.0	731228.0	763142.0	782386.0	791383.0	803770.0	808163.0
2013	3513471	4487799.0	4659573.0	4741685.0	4779204.0	4799392.0	4809008.0	4812325.0	4813944.0	4816495.0
2014	4630549	5692934.0	5885395.0	5967019.0	6004664.0	6026444.0	6037091.0	6042237.0	6046794.0	
2015	4184227	5373644.0	5554423.0	5640983.0	5682217.0	5702348.0	5715009.0	5725075.0		
2016	4567326	5741086.0	5949359.0	6046672.0	6096268.0	6117661.0	6134059.0			
2017	5256461	6797612.0	7074586.0	6997890.0	7039379.0	7031354.0				
2018	5654853	7308533.0	7296834.0	7317933.0	7409261.0					
2019	5592284	7171088.0	7433818.0	7564181.0						
2020	6631096	8460946.0	8887139.0							
2021	6547494	8894251.0								
2022	6119286									
